id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8805,0.969450542,0.000225087,0.015002889,0.007090013,0.014410265,0.001627849,0.031512137,0.999990384,0.969450542,41,0,1.358,0.5,1647.233298,0.798103987,845.2365931,1.139199762,200,0.5,3.073,4,4,0.3,1.2,1.845541118,1011.930133,0.841342597,2295.530498,0.749454488,0.97
8806,0.970639241,0.000444837,0.02109115,0.01219601,0.025916847,0.006741845,0.030248889,0.999763069,0.970639241,41,0,1.358,0.5,1348.135669,1.620959663,1792.013863,0.269046096,200,0.5,3.073,4,4,0.3,1.2,3.55092943,1973.108302,1.378716454,2156.996692,1.418491187,0.97
8808,0.999080275,7.67E-05,0.008758669,0.005285395,0.007241814,0.022839281,0.000920571,0.998484319,0.999080275,41,0,1.358,0.5,1298.275397,1.868482623,903.498373,0.359210202,200,0.5,3.073,4,4,0.3,1.2,2.588501753,860.5964698,1.798778868,1080.555507,0.552893839,0.97
8813,0.867637361,0.000473774,0.021766352,0.012164064,0.021435838,0.001951112,0.152555255,0.999978001,0.867637361,41,0,1.358,0.5,2422.356757,1.75085556,2849.928033,0.899743604,200,0.5,3.073,4,4,0.3,1.2,3.735502843,1691.181384,0.318082587,788.3188091,1.631157166,0.97
8814,0.863603304,0.000504598,0.022463251,0.012650704,0.022461374,0.002014036,0.157939062,0.999976018,0.863603304,41,0,1.358,0.5,2853.905383,1.90707636,1642.755358,0.650280835,200,0.5,3.073,4,4,0.3,1.2,4.596390224,2231.587325,1.464943813,2220.532036,0.237505883,0.97
8809,0.877714865,0.000467524,0.021622304,0.012170624,0.021702822,0.001949975,0.139322165,0.999977095,0.877714865,41,0,1.358,0.5,2107.152782,1.664004097,2769.214973,0.900839264,200,0.5,3.073,4,4,0.3,1.2,4.412173725,1309.101851,0.524667759,1164.039278,1.09217778,0.97
8807,0.882041706,0.000488078,0.022092476,0.012437897,0.020885283,0.001980346,0.133733239,0.999980834,0.882041706,41,0,1.358,0.5,2745.203499,1.73386328,2567.545429,0.422846735,200,0.5,3.073,4,4,0.3,1.2,2.064126115,1751.342568,0.973113743,2255.705413,0.854633909,0.97
8816,0.915988457,0.000432626,0.020799675,0.012201642,0.009252972,0.001311954,0.091716815,0.999990829,0.915988457,41,0,1.358,0.5,2403.644495,1.717095717,916.9894878,1.21463846,200,0.5,3.073,4,4,0.3,1.2,1.279721907,2776.469971,0.399486807,1925.065031,1.782087153,0.97
8817,0.929519372,0.000253595,0.015924656,0.00778377,0.005096244,0.000997228,0.075824808,0.999996535,0.929519372,41,0,1.358,0.5,2873.597406,1.562104776,2561.827243,0.550887743,200,0.5,3.073,4,4,0.3,1.2,1.566791763,2115.42258,0.137834764,2611.176151,0.522119097,0.97
8815,0.953511949,0.000140099,0.011836355,0.004932244,0.003301602,0.000742227,0.048754556,0.999998404,0.953511949,40,0,1.358,0.5,2727.784178,1.340589546,2234.430588,1.371707033,200,0.5,3.073,4,4,0.3,1.2,2.995520016,2051.288457,1.09583827,1867.007979,1.566769479,0.97
8820,0.995621196,2.56E-05,0.005056691,0.002564298,0.002443395,0.000349171,0.004398062,0.999999623,0.995621196,41,0,1.358,0.5,1466.180107,0.079126043,2438.615221,1.181792852,200,0.5,3.073,4,4,0.3,1.2,3.123520403,1101.198727,1.407569761,2717.593295,1.249996111,0.97
8804,0.998772169,5.34E-05,0.007310922,0.004078231,0.004004883,0.000646252,0.00122934,0.999999001,0.998772169,40,0,1.358,0.5,2824.965605,0.081257323,2932.310532,0.200419289,200,0.5,3.073,4,4,0.3,1.2,1.022529082,1149.77647,1.577152122,1893.249813,1.260042783,0.97
8824,0.989970814,5.86E-05,0.007652417,0.003547649,0.003813282,0.000271402,0.01013079,0.999999719,0.989970814,40,0,1.358,0.5,2810.701862,1.520102678,981.3768285,1.116730025,200,0.5,3.073,4,4,0.3,1.2,3.273790775,2412.746559,1.509054067,2646.436597,1.546195001,0.97
8826,0.736338173,0.000415879,0.020393107,0.011389463,0.019792429,0.000743913,0.358071654,0.999997449,0.736338173,39,0,1.358,0.5,2088.546934,1.687774198,2735.249076,1.1656645,200,0.5,3.073,4,4,0.3,1.2,2.59008324,2141.684914,1.412879497,1322.8068,1.00986094,0.97
8827,0.475119858,0.000537844,0.023191469,0.013254083,0.023536374,0.000845994,1.104732065,0.999996319,0.475119858,39,0,1.358,0.5,2907.033998,1.437535571,2111.436902,0.55696115,200,0.5,3.073,4,4,0.3,1.2,3.485015894,2110.286423,0.387446708,2479.008708,1.697010782,0.97
