id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike
9693,0.997934692,0.002069582,0.04549266,0.01860041,0.04151632,0.001770323,2.796005413,0.999984136,0.997934692,188.8321629,216.2391063,63.1795926,1543.969887,1760.298406,1565.323284,4.360126287,4.056164554,0.449379222,1.358,2.184575756,5.49549589,0.371071625,3.073
9697,0.997420852,0.002585817,0.050850934,0.020765263,0.04758328,0.001978672,3.852868059,0.999981125,0.997420852,171.2826594,210.7607985,103.4690557,2062.230214,1713.427588,1221.254075,1.240319381,3.407444668,0.850078235,1.358,5.207120913,5.56361144,0.803978409,3.073
9698,0.997512447,0.002493757,0.049937529,0.020465583,0.046758884,0.00194313,3.496247099,0.999981659,0.997512447,170.8093421,294.9462429,111.5152905,1986.768614,1992.610407,1630.607835,2.098510168,1.215698081,1.119646043,1.358,5.16554357,3.369828517,0.655064325,3.073
9703,0.997746305,0.002258786,0.047526683,0.018712186,0.043998372,0.001861228,2.105188182,0.999983002,0.997746305,195.0741049,259.3018858,37.62062816,1856.422324,1727.488727,1101.246857,3.768547419,2.217480971,0.979452939,1.358,3.0117811,2.307826597,0.982575861,3.073
9704,0.997714893,0.00229034,0.047857499,0.018386816,0.043645017,0.001883717,1.717755166,0.999983483,0.997714893,208.3331721,213.764086,44.8478492,2035.135407,2101.211063,1040.200179,4.368473064,3.037231979,0.809712184,1.358,2.810542363,5.502349766,0.64920239,3.073
9707,0.997771728,0.002233248,0.047257254,0.018181833,0.042937195,0.001868056,1.514142214,0.999983803,0.997771728,180.9644262,198.0916278,82.06122398,1937.703549,1591.297771,1130.431215,1.733724863,4.225605556,1.120172637,1.358,5.318184527,4.835248937,0.419958158,3.073
9709,0.996764516,0.003245986,0.056973555,0.023283486,0.055955646,0.002182708,4.745631503,0.999978581,0.996764516,172.0702351,310.3304996,28.10799202,1945.89403,1568.473861,978.713698,1.351355812,3.164424414,1.336555217,1.358,5.798097432,5.819042489,0.531985542,3.073
9702,0.996680825,0.003330229,0.057708133,0.023036526,0.055497025,0.002246603,4.502469083,0.999977276,0.996680825,174.1788854,226.1500732,30.40752798,1536.128212,1751.192745,1144.223226,1.070203058,1.404774905,0.42252611,1.358,4.207388401,2.925597879,0.99620586,3.073
9708,0.996176567,0.003838107,0.06195246,0.02417898,0.059402392,0.002411837,3.864974087,0.999974849,0.996176567,204.7190386,301.3584383,85.82099928,2217.137384,1776.228773,1277.962572,1.669366482,1.041145246,1.227676981,1.358,5.468916537,4.028500338,0.42345618,3.073
9712,0.996232026,0.003782225,0.061499797,0.025214493,0.061666919,0.002396504,3.596895986,0.999974898,0.996232026,193.718689,239.0085683,32.48118998,1865.845236,2124.108361,1115.386101,1.002518185,1.185834037,1.215529222,1.358,2.540793033,2.501129906,0.37443145,3.073
9714,0.995887387,0.004129596,0.064261932,0.025515358,0.062702678,0.002504138,3.026993819,0.999973185,0.995887387,174.3716018,192.8729546,68.50955563,1723.193628,2189.268607,1616.088357,1.201088655,3.511999892,0.341805814,1.358,3.680008045,3.529033028,0.326720044,3.073
9716,0.995644183,0.004374874,0.066142827,0.026381621,0.064108678,0.002577432,2.454304096,0.999971627,0.995644183,200.1561537,263.2929925,58.39082102,1617.301958,1873.660036,1232.304319,4.331451071,3.500839271,0.879108901,1.358,3.026556891,3.785559633,0.380243425,3.073
9718,0.996067045,0.003948484,0.062836965,0.026786034,0.065095589,0.002502299,2.357245016,0.999972692,0.996067045,193.115646,185.1181202,36.27504272,1887.933143,1870.646184,1558.294727,2.217644888,4.292777131,0.746532359,1.358,4.743807083,3.880409487,0.304210439,3.073
9722,0.997094379,0.002914088,0.053982296,0.025308212,0.061917581,0.002131056,1.171463496,0.999980142,0.997094379,190.3907063,311.4830256,28.60356933,1561.876346,1705.461167,1044.922808,1.01670165,3.426995077,0.318259405,1.358,3.132215149,3.052215815,0.98401935,3.073
9723,0.997510274,0.002495941,0.049959389,0.02563078,0.060232701,0.001944963,0.848619786,0.999985742,0.997510274,209.9361345,181.3046251,45.62556375,1941.351194,1602.862992,1588.699692,1.254094012,4.366121542,1.366036356,1.358,3.468819436,3.515880182,0.413029623,3.073
9725,0.997035531,0.002973283,0.054527823,0.028957783,0.066107944,0.00184774,0.716561313,0.99998509,0.997035531,195.9217402,307.5696541,26.07808131,1902.740615,1575.107409,1424.1891,2.672903266,4.366801551,1.245373383,1.358,3.159440791,2.007302671,0.450257236,3.073
9727,0.996604338,0.003407232,0.058371501,0.027585077,0.048338316,0.001984696,1.638878634,0.999983175,0.996604338,187.5792898,200.7983646,90.72498179,1539.292544,1954.314102,1096.517768,3.888693673,4.683570997,1.11353649,1.358,4.062474563,4.988270765,0.387275757,3.073
9726,0.99664913,0.003362136,0.057983926,0.02677252,0.042463585,0.002004821,1.583565884,0.999980167,0.99664913,177.6549347,305.4012456,119.5777568,1674.424173,2145.125948,1080.960835,4.795109115,2.10537475,0.379436234,1.358,3.556358799,5.513174467,0.668711734,3.073
9721,0.996642203,0.00336911,0.058044031,0.026483736,0.041285097,0.002027113,1.465562634,0.9999786,0.996642203,180.4050628,215.2172477,112.348347,2057.699078,2105.148427,1622.662014,1.424210464,3.359611495,1.47476928,1.358,3.938978242,3.19955407,0.636386507,3.073
9729,0.99681752,0.00319264,0.056503455,0.025817999,0.039127603,0.002091373,1.360064803,0.9999801,0.99681752,202.9298417,243.9568208,66.57108988,2070.176559,1649.780631,1568.830792,4.96943769,1.624807025,0.724292714,1.358,2.429498005,4.916850111,0.783385314,3.073
9730,0.996824298,0.003185819,0.05644306,0.025785149,0.039050016,0.002089138,1.360344709,0.999980163,0.996824298,175.6342035,295.8445229,35.36350897,1756.7393,2086.494055,1159.924728,4.605587566,4.73127105,1.464405774,1.358,3.408355995,2.361313223,0.442734032,3.073
9732,0.980417368,0.019973771,0.141328592,0.079566798,0.187288995,0.005476859,7.570059162,0.999900443,0.980417368,181.6287059,297.4892055,31.93977131,2152.096938,1620.298323,1017.461476,2.33653844,1.536648346,1.381461787,1.358,3.754624865,3.314684758,0.499671972,3.073
9733,0.303821017,2.291411539,1.513740909,0.065523273,0.114819745,0.050748544,1805.632293,0.988475716,0.303821017,183.7742697,209.4413325,55.13272179,1919.17426,1992.906106,1536.657817,3.790182721,2.523569215,0.983176904,1.358,4.49477093,3.970204159,0.34748369,3.073
9742,0.997739386,0.002265736,0.047599745,0.022789961,0.05217229,0.00188754,1.293735089,0.999986072,0.997739386,176.1127541,273.9629503,62.26928286,1799.253536,2188.504462,1201.109428,4.995479653,3.742862039,0.993102819,1.358,2.553596281,4.643051587,0.866107891,3.073
9747,0.997833831,0.002170872,0.046592616,0.021701615,0.047808762,0.001792418,2.38144645,0.999983669,0.997833831,196.4565441,237.9081806,42.24969871,2176.662251,1594.733609,1531.574532,3.681650368,4.469275956,1.434787525,1.358,4.191543817,2.762758845,0.990901957,3.073
